1190, 1576,      -8.14592, -0.12528, 16.43859,   3, 3, 0 
1190, 1576,      -8.23949, -0.16831, 16.45179,   3, 3, 0 
1190, 1576,      -8.25642, -0.14877, 16.44332,   3, 3, 0 
1200, 1576,      -8.45695, -0.43105, 16.49983,   3, 3, 0 
1210, 1576,      -8.29504, -0.42186, 16.50244,   3, 3, 0 
1220, 1576,      -8.06542, -0.49011, 16.53168,   3, 3, 0 
1230, 1576,      -7.91977, -0.46725, 16.51246,   3, 3, 0 
1240, 1576,      -7.74507, -0.49838, 16.51121,   3, 3, 0 
1250, 1576,      -7.47325, -0.46571, 16.50986,   3, 3, 0 
1260, 1576,      -7.20171, -0.43205, 16.49471,   3, 3, 0 
1270, 1576,      -7.03414, -0.46536, 16.50844,   3, 3, 0 
1280, 1576,      -6.83825, -0.49328, 16.50551,   3, 3, 0 
1290, 1576,      -6.62818, -0.52580, 16.49673,   3, 3, 0 
1300, 1576,      -6.41006, -0.46608, 16.50227,   3, 3, 0 
1310, 1576,      -6.21367, -0.50110, 16.50066,   3, 3, 0 
1320, 1576,      -6.05251, -0.49112, 16.49043,   3, 3, 0 
1330, 1576,      -5.81856, -0.49265, 16.49311,   3, 3, 0 
1340, 1576,      -5.60822, -0.52606, 16.49796,   3, 3, 0 
1350, 1576,      -5.37817, -0.54944, 16.50189,   3, 3, 0 
1360, 1576,      -5.14349, -0.55710, 16.49091,   3, 3, 0 
1370, 1576,      -4.84648, -0.50554, 16.46808,   3, 3, 0 
1380, 1576,      -4.64747, -0.51226, 16.47234,   3, 3, 0 
1390, 1576,      -4.46705, -0.53622, 16.48458,   3, 3, 0 
1400, 1576,      -4.19832, -0.53332, 16.50043,   3, 3, 0 
1410, 1576,      -3.96372, -0.54184, 16.50431,   3, 3, 0 
1420, 1576,      -3.75186, -0.53949, 16.50791,   3, 3, 0 
1430, 1576,      -3.44304, -0.47328, 16.50681,   3, 3, 0 
1440, 1576,      -3.24824, -0.45158, 16.49608,   3, 3, 0 
1450, 1576,      -2.95478, -0.52253, 16.50777,   3, 3, 0 
1460, 1576,      -2.70354, -0.49999, 16.50338,   3, 3, 0 
1470, 1576,      -2.46481, -0.48708, 16.52030,   3, 3, 0 
1480, 1576,      -2.18969, -0.48252, 16.52333,   3, 3, 0 
1490, 1576,      -1.82752, -0.49355, 16.52595,   3, 3, 0 
1500, 1576,      -1.57906, -0.49992, 16.52954,   3, 3, 0 
1510, 1576,      -1.43747, -0.54978, 16.52141,   3, 3, 0 
1520, 1576,      -1.14852, -0.54316, 16.52414,   3, 3, 0 
1530, 1576,      -0.82098, -0.55941, 16.53486,   3, 3, 0 
1540, 1576,      -0.65698, -0.52107, 16.51759,   3, 3, 0 
1550, 1576,      -0.41657, -0.52158, 16.52204,   3, 3, 0 
1560, 1576,      -0.14928, -0.56050, 16.52573,   3, 3, 0 
1570, 1576,      0.16546, -0.58558, 16.53649,    3, 3, 0 
1580, 1576,      0.49170, -0.54507, 16.52471,    3, 3, 0 
1590, 1576,      0.78656, -0.53058, 16.53538,    3, 3, 0 
1600, 1576,      1.01507, -0.54684, 16.53307,    3, 3, 0 
1610, 1576,      1.51268, -0.56641, 16.53473,    3, 3, 0 
1620, 1576,      1.92716, -0.59808, 16.53016,    3, 3, 0 
1630, 1576,      2.20874, -0.59274, 16.49942,    3, 3, 0 
1640, 1576,      2.48653, -0.55962, 16.48978,    3, 3, 0 
1650, 1576,      2.74773, -0.60677, 16.48053,    3, 3, 0 
1660, 1576,      3.15510, -0.59035, 16.46936,    3, 3, 0 
1670, 1576,      3.41835, -0.60172, 16.47421,    3, 3, 0 
1680, 1576,      3.72589, -0.57881, 16.45846,    3, 3, 0 
1690, 1576,      3.90995, -0.62984, 16.46227,    3, 3, 0 
1700, 1576,      4.18199, -0.60474, 16.46083,    3, 3, 0 
1710, 1576,      4.53043, -0.61819, 16.45862,    3, 3, 0 
1720, 1576,      4.67770, -0.66099, 16.44190,    3, 3, 0 
1730, 1576,      4.96862, -0.66838, 16.44624,    3, 3, 0 
1740, 1576,      5.31209, -0.64724, 16.44500,    3, 3, 0 
1750, 1576,      5.56836, -0.65986, 16.44262,    3, 3, 0 
1760, 1576,      5.77111, -0.69547, 16.41221,    3, 3, 0 
1770, 1576,      6.08805, -0.73435, 16.42272,    3, 3, 0 
1780, 1576,      6.32152, -0.73648, 16.41387,    3, 3, 0 
1790, 1576,      6.46710, -0.71525, 16.42097,    3, 3, 0 
1800, 1576,      6.79517, -0.73161, 16.42620,    3, 3, 0 
1810, 1576,      7.17957, -0.74691, 16.43069,    3, 3, 0 
1820, 1576,      7.64008, -0.80048, 16.43898,    3, 3, 0 
1830, 1576,      7.84522, -0.80019, 16.42452,    3, 3, 0 
1840, 1576,      8.09789, -0.83445, 16.42823,    3, 3, 0 
1850, 1576,      8.36728, -0.83831, 16.42649,    3, 3, 0 
1860, 1576,      8.69336, -0.84117, 16.42505,    3, 3, 0 
1870, 1576,      8.97402, -0.82264, 16.41868,    3, 3, 0 
1880, 1576,      9.16053, -0.88832, 16.41381,    3, 3, 0 
1890, 1576,      9.66716, -0.91568, 16.40305,    3, 3, 0 
1900, 1576,      9.97941, -0.97107, 16.39065,    3, 3, 0 
1910, 1576,      10.29222, -1.02604, 16.38592,   3, 3, 0 
1920, 1576,      10.70852, -1.06671, 16.37353,   3, 3, 0 
1930, 1576,      10.86242, -1.10236, 16.36331,   3, 3, 0 
1940, 1576,      11.18904, -1.10558, 16.36202,   3, 3, 0 
1930, 1576,      11.67448, -1.17901, 16.35392,   3, 3, 0 